name,country_code,flag_emoji,group_letter,confederation,fifa_ranking,coach,captain,capital,population,languages,currency,wc_appearances,best_finish,fun_fact,animals,foods,landmarks,cheer_reasons,mls_connections,key_players
Norway,NO,🇳🇴,I,UEFA,38,Ståle Solbakken,Martin Ødegaard,Oslo,5.5 million,Norwegian,Norwegian Krone,3,Round of 16 (1998),"Norway has the Northern Lights (Aurora Borealis), incredible fjords, and gave us the Vikings! They also have Erling Haaland — one of the most unstoppable goal-scorers in history!","Arctic Fox|Polar Bear|Lemming|Norwegian Lemming|Atlantic Puffin","Rakfisk (fermented fish)|Brunost (brown cheese)|Lefse (flatbread)|Kjøttkaker (meat cakes)|Smørbrød","Fjords of Geirangerfjord|Northern Lights|Viking Ship Museum|Preikestolen (Pulpit Rock)","ERLING HAALAND 🚀|Northern Lights 🌌|Fjords 🏔️|Vikings ⚔️|Most beautiful country on Earth?","Erling Haaland (Man City); Ødegaard (Arsenal); Norway has big future stars","Erling Haaland (FW)|Martin Ødegaard (MF)|Alexander Sørloth (FW)|Ørjan Nyland (GK)"
Iraq,IQ,🇮🇶,I,AFC,65,Jesús Casas,Aymen Hussein,Baghdad,42 million,Arabic & Kurdish,Iraqi Dinar,4,Group Stage,"Iraq is home to ancient Mesopotamia — one of the first civilizations in ALL of human history! It's where writing, farming, and cities were first invented, over 5,000 years ago!","Fallow Deer|Persian Fallow Deer|Iraqi Babbler|Kuhl's Pipistrelle","Masgûf (grilled carp) 🐟|Kubba (rice dumpling)|Dolma (stuffed vegetables)|Iraqi biryani|Samoon bread","Ziggurat of Ur|Babylon ruins|Erbil Citadel|Marshes of Southern Iraq","Ancient Mesopotamia 🏛️|Where writing was invented ✍️|Euphrates & Tigris rivers 🌊|Incredible history 📜|Tigris River fish feast 🐟","Limited MLS connections; Iraqi diaspora in Europe and America","Aymen Hussein (FW)|Ali Jasim (MF)|Ahmed Yasin (MF)|Jalal Hassan (GK)"
Argentina,AR,🇦🇷,J,CONMEBOL,1,Lionel Scaloni,Lionel Messi,Buenos Aires,46 million,Spanish,Argentine Peso,18,Winner (1978 & 1986 & 2022),"Argentina won the 2022 World Cup with Lionel Messi — finally giving him his trophy and completing one of the greatest stories in sports history ever!","Puma|Giant Anteater|Andean Condor|Capybara|Patagonian Mara","Empanadas 🥟|Asado (BBQ) 🔥|Mate tea 🧉|Dulce de leche|Medialunas (croissants)","Iguazu Falls|Patagonia|Perito Moreno Glacier|Buenos Aires Obelisk","LIONEL MESSI 🐐|3x World Cup champions 🏆|Best BBQ in the world 🔥|Tango dancing 💃|Patagonia wilderness 🏔️","Lionel Messi plays for Inter Miami MLS! (THE biggest MLS star ever)","Lionel Messi (FW)|Julián Álvarez (FW)|Enzo Fernández (MF)|Emiliano Martínez (GK)"
Algeria,DZ,🇩🇿,J,CAF,56,Vladimir Petković,Riyad Mahrez,Algiers,45 million,Arabic & Tamazight (Berber),Algerian Dinar,5,Round of 16 (2014),"Algeria is the LARGEST country in Africa by land area — most of it is the Sahara Desert! They also pulled off one of the 2014 World Cup's biggest upsets, beating Russia!","Fennec Fox|Barbary Macaque|Saharan Cheetah|African Wild Dog","Couscous|Chakhchoukha (ripped bread stew)|Merguez sausage|Méchoui (roasted lamb)|Makroud (date pastry)","Timgad Roman ruins|Tassili n'Ajjer rock art|Casbah of Algiers|Sahara Desert dunes","World's largest desert 🐪|Fennec Fox 🦊|Riyad Mahrez is lightning fast ⚡|Sahara sunsets 🌅|2014 round of 16","Riyad Mahrez (Man City); Yacine Adli; many French-Algerians in top leagues","Riyad Mahrez (FW)|Ismael Bennacer (MF)|Djamel Benlamri (DEF)|Raïs M'Bolhi (GK)"
Austria,AT,🇦🇹,J,UEFA,20,Ralf Rangnick,David Alaba,Vienna,9 million,German,Euro,7,3rd Place (1954),"Austria is the homeland of Mozart, Beethoven's inspiration, Sigmund Freud, and some of the most beautiful classical music ever composed! Vienna was the center of Europe for centuries!","Alpine Ibex|Chamois|Edelweiss (flower)|Capercaillie|European Lynx","Wiener Schnitzel 🥩|Sachertorte (chocolate cake) 🍰|Apfelstrudel|Kaiserschmarrn|Viennese coffee","Schönbrunn Palace|Vienna State Opera|Hohensalzburg Castle|Austrian Alps|Prater Ferris Wheel","Mozart's homeland 🎻|Vienna is magical 🏰|Best chocolate cake (Sachertorte) 🍰|Alps skiing ⛷️|David Alaba is amazing ⭐","David Alaba (Real Madrid); limited MLS but Austrian Bundesliga connections","David Alaba (DEF)|Marcel Sabitzer (MF)|Christoph Baumgartner (MF)|Patrick Pentz (GK)"
Jordan,JO,🇯🇴,J,AFC,75,Hussein Ammouta,Yazan Al-Naimat,Amman,10 million,Arabic,Jordanian Dinar,2,Group Stage,"Jordan is home to the ancient city of Petra — an entire city carved right into rose-red rock faces by the Nabataean people 2,000 years ago. It's one of the world's great wonders!","Arabian Oryx|Sand Cat|Syrian Brown Bear|Jordan's Royal Eagle","Mansaf (lamb & yogurt sauce) 🍚|Falafel|Hummus|Maqluba (upside-down rice)|Kanafeh (cheese dessert)","Petra (rose-red city)|Dead Sea|Wadi Rum desert|Roman Theater of Jerash","Petra 🏛️|Dead Sea (saltiest lake!) 🌊|Wadi Rum desert 🏜️|Falafel & hummus 🥙|Underdog story 💪","Limited MLS connections; Jordan diaspora in Americas growing","Yazan Al-Naimat (FW)|Baha Abdulrahman (MF)|Yazan Alnaimat (FW)|Amer Shafi (GK)"
Portugal,PT,🇵🇹,K,UEFA,6,Roberto Martínez,Cristiano Ronaldo,Lisbon,10 million,Portuguese,Euro,9,3rd Place (1966 & 2022),"Portugal's Cristiano Ronaldo is one of the greatest players in history — still playing international football at 41 years old! The first man to score in five World Cups!","Iberian Wolf|Iberian Lynx|European Bee-eater|Loggerhead Sea Turtle","Pastéis de nata (custard tart) 🍮|Bacalhau (salted cod)|Piri-piri chicken 🍗|Francesinha sandwich","Belém Tower|Jerónimos Monastery|Pena Palace|Douro Valley|Sintra","Cristiano Ronaldo (GOAT debate!) 🐐|Pastéis de nata 🍮|Fado music 🎵|3rd place 2022 🏆|Beautiful Lisbon 🌊","Cristiano Ronaldo (Al-Nassr); João Félix; Bernardo Silva; many top European stars","Cristiano Ronaldo (FW)|Bruno Fernandes (MF)|João Félix (FW)|Diogo Costa (GK)"
DR Congo,CD,🇨🇩,K,CAF,56,Sébastien Desabre,Arthur Masuaku,Kinshasa,100 million,French,Congolese Franc,2,Round of 16 (as Zaire 1974),"DR Congo (as Zaire) was the first sub-Saharan African country to play in the World Cup in 1974. With over 100 million people, it's Africa's most populous French-speaking country!","Bonobo (our closest relative!)|Okapi (unicorn-like animal!)|Congo Peafowl|Forest Elephant","Fufu & Moambe (palm nut sauce)|Pondu (cassava leaf stew)|Makayabu (salted fish)|Liboke (banana leaf-wrapped fish)","Virunga National Park|Congo River|Kahuzi-Biega Gorillas|Lola ya Bonobo sanctuary","Bonobos 🦍|Okapi (Africa's unicorn!) 🦒|Congo River 🌊|Gorilla trekking 🦍|Incredible biodiversity 🌿","Arthur Masuaku (West Ham/formerly); Yannick Bolasie (Crystal Palace)","Arthur Masuaku (DEF)|Yannick Bolasie (MF)|Cédric Bakambu (FW)|Joël Kiassumbua (GK)"
Uzbekistan,UZ,🇺🇿,K,AFC,70,Srecko Katanec,Eldor Shomurodov,Tashkent,35 million,Uzbek,Uzbekistani Som,1,Group Stage (2026),"Uzbekistan is on the ancient Silk Road — the famous trade route that connected China and Europe for over a thousand years! Cities like Samarkand are straight out of fairy tales!","Snow Leopard|Bactrian Camel|Saiga Antelope|Marco Polo Sheep","Plov (rice pilaf) 🍚|Shashlik (grilled meat)|Samsa (pastry)|Lagman (noodle soup)|Chuchvara (dumplings)","Samarkand Registan|Bukhara Old City|Khiva|Silk Road markets","Snow leopards 🐆|Silk Road history 🛣️|Samarkand (most beautiful city you've never heard of!) 🏛️|First World Cup! 🌟|Plov (world's best rice dish?) 🍚","Eldor Shomurodov played for Roma; limited MLS but growing Uzbek presence in Europe","Eldor Shomurodov (FW)|Jaloliddin Masharipov (MF)|Sherzod Nasimov (DEF)|Utkir Yusupov (GK)"
Colombia,CO,🇨🇴,K,CONMEBOL,14,Néstor Lorenzo,James Rodríguez,Bogotá,52 million,Spanish,Colombian Peso,7,Quarterfinals (2014),"Colombia produced some of the most breathtaking moments of the 2014 World Cup — James Rodríguez won the Golden Boot and scored one of the greatest tournament goals ever!","Andean Condor|Spectacled Bear|Poison Dart Frog|Pink River Dolphin|Jaguar","Bandeja Paisa (rice & beans feast)|Arepas 🌽|Sancocho (hearty stew)|Empanadas|Ajiaco soup","Cartagena old city|Coffee region|Cocora Valley|Tayrona National Park|Gold Museum","James Rodríguez golden boot 2014 🥅|Coffee ☕|Cartagena beauty 🌊|Amazon biodiversity 🌿|Lucho Díaz is electrifying ⚡","James Rodríguez (Rayo Vallecano); Luis Díaz (Liverpool); several MLS diaspora connections","Luis Díaz (FW)|James Rodríguez (MF)|Juan Cuadrado (MF)|Camilo Vargas (GK)"
England,GB,🏴󠁧󠁢󠁥󠁮󠁧󠁿,L,UEFA,4,Thomas Tuchel,Harry Kane,London,57 million,English,British Pound,17,Winner (1966),"England INVENTED football in the 1800s and taught the world how to play it — but has only won the World Cup ONCE, in 1966! Can they finally win again in 2026?","Red Squirrel|Badger|Red Fox|Roe Deer|Puffin","Fish and Chips 🐟|Sunday Roast 🍖|Yorkshire Pudding|Scones with clotted cream|Full English Breakfast","Big Ben|Tower of London|Stonehenge|Buckingham Palace|Lake District","Invented football ⚽|Harry Kane is a goal machine 🎯|Premier League (world's best league) 🏆|1966 World Cup winners 🏆|Royal castles 🏰","Harry Kane (Bayern Munich); many Premier League stars; limited MLS but Marcus Rashford linked","Harry Kane (FW)|Jude Bellingham (MF)|Phil Foden (MF)|Jordan Pickford (GK)"
Croatia,HR,🇭🇷,L,UEFA,13,Zlatko Dalić,Luka Modrić,Zagreb,3.9 million,Croatian,Euro,7,Runner-up (2018),"Croatia reached the World Cup FINAL in 2018 with a population of under 4 million people! Luka Modrić is considered one of the greatest midfielders of all time!","Brown Bear|Lynx|Eurasian Otter|Dalmatian Dog (named after Dalmatia!)","Ćevapi (grilled sausages)|Peka (slow-cooked meat)|Black risotto (with cuttlefish!)|Fritule (doughnuts)","Plitvice Lakes National Park|Dubrovnik Old Town|Hvar island|Diocletian's Palace","Luka Modrić is ageless 🌟|2018 World Cup finalists 🏆|Dalmatian dogs 🐕|Dubrovnik (Game of Thrones!) 🏰|Under 4 million people reached the final! 💪","Luka Modrić (Real Madrid); Ivan Perišić; Mateo Kovačić (Man City)","Luka Modrić (MF)|Marcelo Brozović (MF)|Ivan Perišić (FW)|Dominik Livaković (GK)"
Ghana,GH,🇬🇭,L,CAF,65,Otto Addo,André Ayew,Accra,33 million,English,Ghanaian Cedi,4,Quarterfinals (2010),"Ghana became the FIRST African team to reach the World Cup quarterfinals in the modern era (2010) and were THIS close to the semifinals! Their 'Black Stars' nickname is legendary!","African Forest Elephant|Drill|Mona Monkey|Nile Crocodile|African Wild Dog","Jollof Rice (West Africa's greatest debate!) 🍚|Fufu & Light Soup|Kelewele (fried plantain)|Kenkey|Waakye","Cape Coast Castle|Kakum National Park|Mole National Park|Larabanga Mosque","Jollof Rice 🍚|Reached quarterfinals in 2010 🏆|Kente cloth 🎨|Black Stars nickname ⭐|André Ayew family dynasty","Mohammed Kudus (West Ham); André Ayew played globally; Thomas Partey (Arsenal)","Mohammed Kudus (FW)|Thomas Partey (MF)|André Ayew (FW)|Lawrence Ati-Zigi (GK)"
Panama,PA,🇵🇦,L,CONCACAF,48,Thomas Christiansen,Adalberto Carrasquilla,Panama City,4 million,Spanish,US Dollar & Balboa,3,Group Stage,"The Panama Canal connects the Atlantic and Pacific Oceans and is one of the greatest engineering achievements in human history! Over 14,000 ships use it every year!","Harpy Eagle|Geoffroy's Tamarin|Golden Frog|Three-toed Sloth|Resplendent Quetzal","Sancocho (chicken soup)|Arroz con pollo|Ceviche|Carimañola (yuca fritter)|Patacones (fried plantain)","Panama Canal|Bocas del Toro|San Blas Islands|Casco Viejo","Panama Canal 🚢|Harpy Eagles 🦅|Three-toed sloths 🦥|Connecting two oceans 🌊|Kuna Yala indigenous culture","Adalberto Carrasquilla (Houston Dynamo MLS!) — big MLS connection","Adalberto Carrasquilla (MF)|Rolando Blackburn (FW)|Édgar Barcenas (MF)|Luis Mejía (GK)"
